idna_subject,checker_type,destination,source,tested_at,session_id
000.gaysexe.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:29.042718,358d3194b1b6f5ef2f1b9390
000free.us,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:49.324571,358d3194b1b6f5ef2f1b9390
000tristanprod.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:50.948618,358d3194b1b6f5ef2f1b9390
007angels.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:51.208578,358d3194b1b6f5ef2f1b9390
00author.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:51.671940,358d3194b1b6f5ef2f1b9390
00go.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:52.217942,358d3194b1b6f5ef2f1b9390
00it.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:52.751387,358d3194b1b6f5ef2f1b9390
00sexus.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:53.009448,358d3194b1b6f5ef2f1b9390
00webcams.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:53.962149,358d3194b1b6f5ef2f1b9390
01-sex-amateur.info,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:54.166903,358d3194b1b6f5ef2f1b9390
017gj.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:19:54.418036,358d3194b1b6f5ef2f1b9390
01apple.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:15.314949,358d3194b1b6f5ef2f1b9390
03e.info,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:15.946722,358d3194b1b6f5ef2f1b9390
03p.info,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:17.235203,358d3194b1b6f5ef2f1b9390
07634.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:37.523712,358d3194b1b6f5ef2f1b9390
09zyy.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:39.074084,358d3194b1b6f5ef2f1b9390
0azx1.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:39.350460,358d3194b1b6f5ef2f1b9390
0dax.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:40.052761,358d3194b1b6f5ef2f1b9390
0lovespells0.blogspot.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:20:41.441750,358d3194b1b6f5ef2f1b9390
0m4.ru,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:02.430010,358d3194b1b6f5ef2f1b9390
0n-line.tv,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:02.732569,358d3194b1b6f5ef2f1b9390
0q2.sitey.me,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:04.783458,358d3194b1b6f5ef2f1b9390
1-free-share-buttons.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:05.082413,358d3194b1b6f5ef2f1b9390
1-pregnant-sex.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:05.289912,358d3194b1b6f5ef2f1b9390
1.114central.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:06.034635,358d3194b1b6f5ef2f1b9390
10000hai.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:06.291848,358d3194b1b6f5ef2f1b9390
10000verges.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:07.512906,358d3194b1b6f5ef2f1b9390
1000bannerx.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:08.253264,358d3194b1b6f5ef2f1b9390
1000cumshots.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:08.521646,358d3194b1b6f5ef2f1b9390
1000lashes.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:08.897627,358d3194b1b6f5ef2f1b9390
1000russianwomen.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:09.150923,358d3194b1b6f5ef2f1b9390
1001lingerie.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:09.403396,358d3194b1b6f5ef2f1b9390
100dollars-seo.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:09.608130,358d3194b1b6f5ef2f1b9390
100filles.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:10.951192,358d3194b1b6f5ef2f1b9390
100shemales.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:11.205316,358d3194b1b6f5ef2f1b9390
101billion.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:11.478653,358d3194b1b6f5ef2f1b9390
101flag.ru,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:12.847682,358d3194b1b6f5ef2f1b9390
101raccoon.ru,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:13.889893,358d3194b1b6f5ef2f1b9390
108shot.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:14.606591,358d3194b1b6f5ef2f1b9390
11-15.net,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:14.814876,358d3194b1b6f5ef2f1b9390
11235813.webzdarma.cz,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:16.286320,358d3194b1b6f5ef2f1b9390
12.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:36.582033,358d3194b1b6f5ef2f1b9390
121phonesex.co.uk,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:38.158057,358d3194b1b6f5ef2f1b9390
123any.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:38.560409,358d3194b1b6f5ef2f1b9390
123boy.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:40.322156,358d3194b1b6f5ef2f1b9390
123branlemoi.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:42.720693,358d3194b1b6f5ef2f1b9390
123cha.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:44.273618,358d3194b1b6f5ef2f1b9390
123kia.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:45.781473,358d3194b1b6f5ef2f1b9390
123kuma.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:46.117020,358d3194b1b6f5ef2f1b9390
123laceypink.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:46.377819,358d3194b1b6f5ef2f1b9390
123latina.free.fr,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:47.862802,358d3194b1b6f5ef2f1b9390
123locker.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:48.227095,358d3194b1b6f5ef2f1b9390
123sex.biz,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:48.539098,358d3194b1b6f5ef2f1b9390
12cams.be,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:51.695031,358d3194b1b6f5ef2f1b9390
12masterov.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:52.440336,358d3194b1b6f5ef2f1b9390
12research.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:52.697133,358d3194b1b6f5ef2f1b9390
12u.info,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:53.063477,358d3194b1b6f5ef2f1b9390
12xhardcore.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:53.686400,358d3194b1b6f5ef2f1b9390
1314dh.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:54.411390,358d3194b1b6f5ef2f1b9390
13453765871837679316.googlegroups.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:54.774930,358d3194b1b6f5ef2f1b9390
138shenbosbo.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:55.055795,358d3194b1b6f5ef2f1b9390
13tabs.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:56.031018,358d3194b1b6f5ef2f1b9390
14b.info,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:56.386872,358d3194b1b6f5ef2f1b9390
14teen.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:56.641617,358d3194b1b6f5ef2f1b9390
15x.info,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:57.003594,358d3194b1b6f5ef2f1b9390
166f.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:57.306306,358d3194b1b6f5ef2f1b9390
16aq.cn,AVAILABILITY,domains.list,domains.list,2024-07-13 02:21:57.840365,358d3194b1b6f5ef2f1b9390
17chezhan.com,AVAILABILITY,domains.list,domains.list,2024-07-13 02:22:00.323079,358d3194b1b6f5ef2f1b9390
